year,month,day,day_of_week,flight_number,dest,departure_time,closest_hour_crs_dep,op_unique_carrier
2025,3,27,5,AA3920,AMA,2025-03-27 08:26:00 CDT,8,AA
2025,3,27,5,AA1177,DCA,2025-03-27 08:26:00 CDT,8,AA
2025,3,27,5,AA3428,BTR,2025-03-27 08:25:00 CDT,8,AA
2025,3,27,5,AA2673,PSP,2025-03-27 08:25:00 CDT,8,AA
2025,3,27,5,AA2432,SJD,2025-03-27 08:25:00 CDT,8,AA
2025,3,27,5,AA520,PHX,2025-03-27 08:25:00 CDT,8,AA
2025,3,27,5,AA6274,SHV,2025-03-27 08:24:00 CDT,8,AA
2025,3,27,5,AA5015,CHA,2025-03-27 08:24:00 CDT,8,AA
2025,3,27,5,AA3635,LBB,2025-03-27 08:24:00 CDT,8,AA
2025,3,27,5,AA3435,HOU,2025-03-27 08:23:00 CDT,8,AA
2025,3,27,5,AA2639,PVR,2025-03-27 08:23:00 CDT,8,AA
2025,3,27,5,AA3204,OKC,2025-03-27 08:22:00 CDT,8,AA
2025,3,27,5,AA6463,SAF,2025-03-27 08:21:00 CDT,8,AA
2025,3,27,5,AA4957,SJT,2025-03-27 08:21:00 CDT,8,AA
2025,3,27,5,AA3509,XNA,2025-03-27 08:21:00 CDT,8,AA
2025,3,27,5,AA3128,MKE,2025-03-27 08:21:00 CDT,8,AA
2025,3,27,5,AA2302,QRO,2025-03-27 08:20:00 CDT,8,AA
2025,3,27,5,AA4925,CLL,2025-03-27 08:20:00 CDT,8,AA
2025,3,27,5,FX3305,MEM,2025-03-27 08:19:00 CDT,8,FX
2025,3,27,5,AA4197,MFE,2025-03-27 08:19:00 CDT,8,AA
2025,3,27,5,AA3875,ICT,2025-03-27 08:19:00 CDT,8,AA
2025,3,27,5,AA6529,GPT,2025-03-27 08:18:00 CDT,8,AA
2025,3,27,5,AA6503,ASE,2025-03-27 08:18:00 CDT,8,AA
2025,3,27,5,AA6222,DRO,2025-03-27 08:18:00 CDT,8,AA
2025,3,27,5,AA3833,MLU,2025-03-27 08:18:00 CDT,8,AA
2025,3,27,5,AA3406,MTY,2025-03-27 08:18:00 CDT,8,AA
